DEPTH_WMSF,HSGR,Helper
151.9428,26.8018,1
152.0952,28.0125,1
152.2476,27.0188,1
152.4,27.7199,1
152.5524,26.7577,1
152.7048,26.9835,1
152.8572,28.7767,1
153.0096,28.8944,1
153.162,29.9112,1
153.3144,30.431,1
153.4668,32.2538,1
153.6192,31.8658,1
153.7716,29.062,1
153.924,27.309,1
154.0764,27.4869,1
154.2288,29.9779,1
154.3812,31.7268,1
154.5336,32.2295,1
154.686,31.5041,1
154.8384,31.0539,1
154.9908,29.9517,1
155.1432,30.2163,1
155.2956,30.4092,1
155.448,33.408,1
155.6004,34.9056,1
155.7528,35.1965,1
155.9052,33.8843,1
156.0576,32.7311,1
156.21,34.723,1
156.3624,36.6071,1
156.5148,37.6554,1
156.6672,36.0901,1
156.8196,34.0391,1
156.972,33.5946,1
157.1244,33.6272,1
157.2768,34.3996,1
157.4292,33.4485,1
157.5816,34.0153,1
157.734,35.0074,1
157.8864,37.8489,1
158.0388,40.3877,1
158.1912,39.7219,1
158.3436,39.6038,1
158.496,39.9027,1
158.6484,41.4925,1
158.8008,42.3438,1
158.9532,43.5652,1
159.1056,44.1131,1
159.258,43.5771,1
159.4104,41.5338,1
159.5628,38.3802,1
159.7152,36.4708,1
159.8676,34.2346,1
160.02,33.6477,1
160.1724,32.4694,1
160.3248,33.2725,1
160.4772,34.4311,1
160.6296,35.6748,1
160.782,35.1902,1
160.9344,32.9601,1
161.0868,32.9517,1
161.2392,35.1446,1
161.3916,37.7465,1
161.544,41.0213,1
161.6964,40.4387,1
161.8488,41.2897,1
162.0012,39.6601,1
162.1536,39.7318,1
162.306,38.611,1
162.4584,37.5263,1
162.6108,37.9745,1
162.7632,39.9478,1
162.9156,41.051,1
163.068,43.2112,1
163.2204,44.6033,1
163.3728,48.017,2
163.5252,47.2601,2
163.6776,46.0219,2
163.83,42.5452,2
163.9824,42.5525,2
164.1348,41.3656,2
164.2872,41.7945,2
164.4396,42.2078,2
164.592,45.0027,2
164.7444,46.1371,2
164.8968,45.1409,2
165.0492,42.2313,2
165.2016,41.4479,2
165.354,40.7589,2
165.5064,42.9189,2
165.6588,44.5689,2
165.8112,48.3292,2
165.9636,49.0104,2
166.116,47.4736,2
166.2684,43.763,2
166.4208,41.0109,2
166.5732,38.5374,2
166.7256,35.7629,2
166.878,34.0013,2
167.0304,34.2233,2
167.1828,33.8566,2
167.3352,34.8328,2
167.4876,36.0953,2
167.64,38.8905,2
167.7924,40.9063,2
167.9448,41.9867,2
168.0972,41.415,2
168.2496,40.082,2
168.402,36.5999,2
168.5544,36.0972,2
168.7068,33.076,2
168.8592,32.9515,2
169.0116,31.2263,2
169.164,32.619,2
169.3164,33.4074,2
169.4688,35.6763,2
169.6212,36.3692,2
169.7736,36.0142,2
169.926,35.5391,2
170.0784,36.8525,2
170.2308,39.5971,2
170.3832,43.6344,2
170.5356,44.8434,2
170.688,46.3469,2
170.8404,43.6436,2
170.9928,42.6654,2
171.1452,41.1188,2
171.2976,40.6252,2
171.45,40.3789,2
171.6024,38.49,2
171.7548,36.489,2
171.9072,35.1488,2
172.0596,34.3923,2
172.212,33.552,2
172.3644,33.988,2
172.5168,38.4984,2
172.6692,42.2885,2
172.8216,41.9988,2
172.974,40.3136,2
173.1264,42.127,2
173.2788,45.6205,2
173.4312,46.7924,2
173.5836,45.9421,2
173.736,46.9972,2
173.8884,44.5625,2
174.0408,41.4337,2
174.1932,37.2899,2
174.3456,35.4695,2
174.498,34.552,2
174.6504,35.5335,2
174.8028,37.754,2
174.9552,39.8784,2
175.1076,39.9329,2
175.26,41.4431,2
175.4124,44.9594,2
175.5648,44.4967,2
175.7172,40.8743,2
175.8696,35.3955,2
176.022,34.2051,2
176.1744,37.902,2
176.3268,40.2134,2
176.4792,42.6166,2
176.6316,42.5909,2
176.784,41.6448,2
176.9364,39.8463,2
177.0888,36.2417,2
177.2412,34.9012,2
177.3936,35.1025,2
177.546,37.7451,2
177.6984,38.1318,2
177.8508,36.5558,2
178.0032,35.2827,2
178.1556,34.7602,2
178.308,36.4675,2
178.4604,35.3106,2
178.6128,34.985,2
178.7652,33.6649,2
178.9176,32.8614,2
179.07,34.496,2
179.2224,34.5696,2
179.3748,35.5064,2
179.5272,35.9354,2
179.6796,37.8476,2
179.832,40.6708,2
179.9844,41.1317,2
180.1368,41.7687,2
180.2892,42.5243,2
180.4416,43.0685,2
